"","V1"
"B006FJCLI4-A38DDM9FUAF4H1",4
"B006GQWTZQ-A34GIB4U6ETH0W",5
"B007N0RAXK-AA6DR7XTHVF65",4
"B007VCRRNS-AS4CM6IQHKUC6",4
"B007ZSGR9S-A23NSKTMSPPBTR",4
"B00836Y6B2-A2807JIDC2CIH2",4
"B00BC0WNUC-A3N7CNZKIOS701",4
"B00F3J4ZA4-A1X1CEGHTHMBL1",4
"B00F55GWFC-A1X1CEGHTHMBL1",4
"B00GWR36F6-ABDR6IJ93HFIO",4
"B00KROR74G-AOXU46P5BRW2I",4
"B000J0YH9Q-A15P02B49B8EIF",4
"B001MRZY3S-A13N0Q3GBVTFN3",4
"B003ZX7RL4-A1IM86LS1D4I8K",1
"B004343W5E-A1UBW1JLW4B6Q7",4
"B00598BY6W-A2XRGAUXBSAGPF",3
"B0080JI52S-A767EVQNOCRDL",5
"B00BC0WNUC-ADL64QXQ0VKT3",4
"B00BV1MVJ0-A1IGF9SN5Q6L87",4
"B00E89FFO0-A36TC56ZBB4NYC",4
"B00F33OE06-A274G2AF1MM845",4
"B00J4TK4CC-A3UQOZV95H13CU",4
"B003V4AJSU-A2M0E14L447HDB",4
"B003ZX7RL4-A28AOYX0UWTI66",4
"B003ZX7RL4-ACH1J479QOVAI",5
"B004N861MG-A3OZ7RXT1XGZR9",4
"B004VLXHA4-A3EWJ6QD6BPZC8",3
"B004ZLV50E-A3LU00NF0V0CHP",4
"B005KMCLIW-A15SHFXG51NIYX",3
"B005OWWF66-A1PJVW2GSF73E7",5
"B0080DJ6CM-AX6GG8U1HDSZZ",4
"B00812YWXU-A123FEU3EKMV3V",3
"B0099LATZ2-A2K9CH7LQNDDVS",3
"B00BC0WNUC-A1VZ61R25SJCOV",4
"B00BJL133C-A3R19OX24R49WT",2
"B00GD6H0NU-A3VZ9320QJBI2Z",2
"B0029ZA2W0-A2RM0O237Y563W",4
"B0030MHQXO-A3841OH5SMWSG4",5
"B003ZX7RL4-A3VAROHXBXV0I2",4
"B003ZX7RL4-AZNZDG213ZD8M",4
"B004AFVEOC-AVEB9OMS1H7A",4
"B004FK3BAW-A32UFH1ZK418BA",5
"B004SBJHW4-A32LZYMR2F52OX",5
"B0051XCNVK-A1L0OE5XWUGKTJ",5
"B00699JF0M-A328JLIV1BR5CP",5
"B007VCRRNS-A2FVCBP1NSAW0M",3
"B007VCRRNS-ABMN74TBW5UWE",4
"B008A9CZCY-A3IM91C2C9YNM",4
"B008B0T67Y-ASE9VPSM2QS4J",3
"B00AKG2XSQ-A1PLQA4KPJTX7E",5
"B00B7NBBE8-A1SJKE44UJH3R3",4
"B00BC0WNUC-A15CVOWCUQV39L",4
"B00BV1NKCW-A1IQLK2FQIKO1N",2
"B00CIZFK9G-AFQGVISA08J9C",4
"B00F9BFIMA-A294CJZYVH1CA8",5
"B00H50DVPE-A1PEITQQFYXYLM",4
"B00I8AYU2I-A1Z2VBLX2VHCIF",2
"B0009FCAJA-A3UP1DFLMYIBGJ",5
"B00280ISZO-AKAPW1CCY6IZK",4
"B0058GWR8O-A1AIFOH8Y94OKV",3
"B005BA72GO-A30B0J6TRVT1AE",5
"B005HYU1YE-AMLDT3RMN9BS8",4
"B005ML7OWO-A15MVEYHVBTKGX",5
"B0067M9JBQ-A278XJFAVC1S8D",4
"B0067M9JBQ-AS7ZX9BYZVWGC",4
"B006W95VHU-A1BTOFJGPI7HUY",3
"B006XBMY9A-A8JCMWPHLOR6G",5
"B00746GV06-A3PKHLXWYK19HD",4
"B0074R0Z3O-A19EMVPAAW44OP",4
"B0078LXM40-A6NI1QDFVTAM6",2
"B0099LATZ2-A2TDAEGX22L7LM",4
"B009MQZFP8-A2SS3I45D86T0J",4
"B00BJL133C-A27RXBHY67QGC",2
"B00F3ISEUC-A1535NN9QS0J9Q",2
"B00FBQ7W0O-A2YXGMAZU1LMRL",5
"B00GWR36F6-A27MX4Y22QZW1N",2
"B00GWR36F6-A2F957JIHAME1S",2
"B00I2LRLPG-AJB4CMD6M2NQH",2
"B00I3PQ8D2-ARS8TAPKI0AMJ",4
"B00IN12D76-AG5WOLLBS2TR1",2
"B00JB216RY-A104Z0FEQEN6IA",4
"B003DD00JC-A2GTWHBEPUWCJJ",4
"B003ZX7RL4-A109AX0741DNR9",4
"B0041E1RSA-A1A79025G9W3G8",3
"B0046LTU9G-A1TL256Z9GWNKD",4
"B004FK3BAW-A3JHHJDKMTSCEW",3
"B005HYU1YE-A2FF1JVOZ9T1RG",5
"B007VCRRNS-A3KP6KYEYPLQPW",5
"B009HQAR56-AX61BYL9II6WA",4
"B009NCJMZU-A35444XSNB2YZ1",4
"B009PLBLQC-A1NLK7BAPEZT2V",2
"B00BC0WNUC-A3P7221AUE83T9",4
"B00BV1NKCW-A3IEAYDS24L2IK",4
"B00CNVOM4O-A7WHA3VWV81C3",4
"B00E3G756E-A2KUORMYVGT75M",5
"B00F9BFIMA-A6YLKUPYEYGG1",2
"B00FX8WIUE-A1OBLUJYMFJZCJ",4
"B00GTVXKCO-A293GE3S824HF",4
"B00GXHPN1U-AMDXAP925L195",2
"B00I8AYU2I-A7EOM4KW37NM5",4
"B001F7VN6M-A1S2QNV3353UZV",3
"B0030MHQXO-AAU7CAQIN5BAE",5
"B003U6628A-A243DBUYMGGH79",4
"B003ZX7RL4-A1EREK46HXDQZ4",4
"B003ZX7RL4-A3G5MOHY1U635N",4
"B003ZX7RL4-A3J6MD9OPYWXC2",4
"B003ZX7RL4-A3Q3DCVDKZHRRW",4
"B004343W5E-APHUV202OD9WX",4
"B0046LTU9G-AF5MYIR1E75L8",4
"B00485CGHS-A3LEAMLQDQW4XE",4
"B004TS2GJC-AZWAF5982WDYN",4
"B004ZLV5PE-A96K1ZGW56S2I",4
"B005IDWIMM-AMLDT3RMN9BS8",4
"B0062FYYYA-A1VB4GW4J647UH",4
"B006FJCLI4-A6KVTUGAXFR32",4
"B006OU39QW-ABVYGB2TKBO8F",5
"B00719F2WO-A35A0FLOPEOW4",4
"B007XVOXG6-A2A0FAJLCTKRCU",4
"B0099QRVZS-A3STQ45XNMV62B",4
"B009ZC90P0-A3NK28P0BSBJY4",4
"B00AIIMSRW-A22HM11U436B4V",1
"B00AW8DO76-A2VDPE2EYBKZUV",3
"B00BV1NKCW-A2HN6QNGYCJW9K",4
"B00E5M3JVG-AQ6YCJKPHZUF6",4
"B00F3ISEUC-A38US3BI4PEJ5O",2
"B00F3J4B5S-AXO4PQU0XG3TG",2
"B00IWCCY9I-A1R9MVVCMXI5T1",2
"B002YDZSQM-AF24RCNXHP7Y9",4
"B002YDZSQM-AMLDT3RMN9BS8",4
"B003S6KFKI-A1FR25JAT7MDWE",4
"B003ZX7RL4-A1A3A0GB2KKWO1",5
"B003ZX7RL4-A1DPGJUA7Y0KRB",4
"B003ZX7RL4-A1KQNKTSTMNEGH",4
"B003ZX7RL4-A1Y8DTMBG6FP0D",4
"B003ZX7RL4-A2DVREDREHOQPL",5
"B003ZX7RL4-A2FY4P0TRSEE5J",4
"B003ZX7RL4-A3TBJIS4F4OQLW",4
"B003ZX7RL4-A4UTVO4FJHVZI",4
"B004SBJHW4-A22YII2TFPGCTX",5
"B004SBJHW4-A27NDFXLINFNZU",4
"B004TS2GJC-A36A0MMVRYA5UQ",4
"B0052TQ4FY-A2GS45WDMMF5HP",4
"B005KME38I-AN2E58LT9IIJ5",4
"B005SSAXSI-A2Y7BSQG9V3LNG",5
"B005SSAXSI-A34U4SSLIN3E85",2
"B0068GIZU2-A3CJ62BC7LSZJT",4
"B00699C0X6-A3PARFPIL95MPS",4
"B006ULGWPK-A14PBPUH0N76WG",5
"B006ULGWPK-AIFU7WJI65OJ9",2
"B0081HBX2I-AKG13OF6CT8YN",5
"B008S2G9YI-A6CLJSZMQYNDJ",2
"B0091POJKW-A89KVUPYUQCT7",4
"B0097CZJEO-A3O89E6CAA4BSL",4
"B009F9R6K4-A3OK7ON1ER6172",4
"B009PLBLQC-A3NM01NNPL5JZL",4
"B00BJL133C-A11G2QWPVEJRVB",5
"B00BNR5860-AU1L04KUPXPJF",5
"B00BV1NKCW-A2K7PL3GCXMLPY",4
"B00CHHDYNE-A1D8Q7TO46B4OT",2
"B00D7ZMSZ0-AN7G9M1JDFX1U",3
"B00EVBLPFI-A34GB2ZA1JLGND",4
"B00F3J4B5S-A2F9KDYJS56JZV",2
"B00F3J4B5S-A3IKZ5JBL6F2LZ",4
"B00GWR36F6-A28RR75NZLCYL8",2
"B00GWR36F6-A32PBNS7SGYRWE",5
"B00GWR36F6-AGCN38LIJZM3K",4
"B00H8ASMXC-A24PR99TXRK7YX",2
"B0009FCAJA-A3EXJSCK1RWV2Z",5
"B0009FCAJA-ANMPU7OPLGZAT",4
"B001MRZY3S-A39O2ZP1VVRCVQ",4
"B002KQLUVU-A1OGBN5PXN7NLX",1
"B002YDZSQM-A3JSD7DCNHR7H4",4
"B003ZX7RL4-A2ATOFQU2NLGC5",4
"B003ZX7RL4-A2MXSS3M1ATM80",4
"B0042ORU08-A3RY95CIYMJMGN",4
"B0046LTU9G-A3OFAIHG68CWFI",4
"B004BX2HOE-A1Q0Z3XJ398549",5
"B004KFXTOA-AQ0WIQ7PSG4P1",3
"B004LRVNG8-A1LEVV69HWTSTN",4
"B004R63J7Y-AAPX29O6Z09Q7",4
"B004TS2GJC-AV46HZZQK3L5B",4
"B004ZF0E16-A14P35YSWTQYM",2
"B0058GWR8O-ADLVFFE4VBT8",4
"B005IDWIMM-A18MBO1U4DPY20",4
"B005SSAXSI-A2VV2MISGXFY1O",4
"B0063GMSY6-A1AJFWRXWRM8TR",4
"B0067M9JBQ-A1DTSET17K9R0Z",4
"B0067M9JBQ-A3CA0FQA3RYSFC",4
"B006V6A0Z2-A2XE7MNN1JYSMP",5
"B007250KN8-AG5JGKZKJRULT",3
"B0074REVES-AOM7E1FX7NZW",3
"B007ILUCKW-A1JTTI1KH3DOCY",2
"B007MPZT2K-ADE0R0RSE3MJS",4
"B0080DJ6CM-A1D7QAZ6VI2CAO",2
"B0086ZV2M6-A1BBMO1JC9YWJ1",4
"B008DYS016-A1C5LJ9BRFAOVK",2
"B009PLBLQC-A197T2N6RU7K56",2
"B00AKG2XSQ-A2U1GHZHMSOKWU",2
"B00AUWS9VA-AWPPXP5WRPNY0",4
"B00BJL133C-A3K43UM7TWLC6K",2
"B00BJL133C-A3LK1JECTYJ14C",2
"B00BUGVTY4-A2OTFJUMQF12ZC",4
"B00BV1NKCW-A38US3BI4PEJ5O",5
"B00BV48MY0-A2R1VCV9QJAWFR",2
"B00ET9T3TC-A2WFNNKUK3OC2X",2
"B00FX8WIUE-A1JJ9ER8Y377VK",2
"B00FZV14GI-A11JI4CX8C84OT",1
"B00G3C2FTS-AMDXAP925L195",2
"B00GWR36F6-AN86UCB541479",2
"B00GWR36F6-AYP6HRQW9VU3L",2
"B00HIW5WW4-AY2PVO33AJLPZ",2
"B00J3554KE-A2FGTQWRO1XDB6",2
"B00KA70CGK-A1GMS54V4T4PTA",3
"B0016JDBYG-A2VBHXE9IAY0WM",5
"B001MRZY3S-A22LFPPIFNH69E",5
"B003L0OX9U-A2SYCKV9A2SE0F",5
"B003V4AJSU-A2B3TF6A3P4V18",4
"B003ZX7RL4-A1JJT47VMSBLFA",4
"B003ZX7RL4-A1ZREW6RFCSFPT",4
"B003ZX7RL4-A308QQBOY5CD9C",4
"B003ZX7RL4-ABLLH6CMIB25W",4
"B003ZX7RL4-ALPR680FXYPYX",4
"B0046LTU9G-A3RFR3WW8QZX37",4
"B004AFVEOC-AH1TEVXE0LLP9",2
"B004N861MG-A3F5MEU9KL55R0",5
"B004OQDXRS-AQNG74ENJED8E",5
"B004SBJHW4-A1C1FAX5BWEHIY",3
"B004SBJHW4-A3QLDN5PMWO1LB",3
"B004VLXHA4-A2JP809DTDNYMY",2
"B0052TQ4FY-A3B1360JOYS0GJ",4
"B005HYU1YE-AS4CM6IQHKUC6",4
"B005ML7OWO-A3BAIBGOB4KAQY",3
"B005YTY38C-A2B7BUH8834Y6M",2
"B006ULGWPK-AUKWBKAARI97P",3
"B0099LATZ2-A38US3BI4PEJ5O",4
"B009IRGQPO-A11I0E7YTRJCOE",4
"B009MB6Z52-ALY6TG73MHA9H",3
"B00A29WCA0-AOCZIQHO2QGU",2
"B00AKG2XSQ-A1YX6OF2QOGA20",2
"B00AR23T5O-A1M49XCNGIP592",4
"B00B7NBBE8-A3EG4SKM2URT4M",4
"B00BJL133C-APC9GTWKBGCL",2
"B00CIZFK9G-A830HXXTXORJR",2
"B00CL8XDF8-A1FMU4CJLIDHR9",2
"B00D8T9QZU-A2C0RRQYXLMBGJ",3
"B00DZS2E76-A2Q96EVS21NWDZ",4
"B00E3913G4-A295MX8R5C9QSV",4
"B00E3G756E-AIVU1J51MJ9O2",2
"B00ET7MWWO-A2ILI1KXJ7R3J",5
"B00F59AGH8-A130CQASSZLPTG",4
"B00F62V0VA-A2ILI1KXJ7R3J",5
"B00GD6H0NU-A36GZPYTENSV67",4
"B00GD6H0NU-A6Y0CCR3EDQMG",4
"B00GWR36F6-A3N798QO48HGW8",2
"B00K01YO1K-A2YYMBBSOMDQJU",5
"B001MRZY3S-A1COMV956NGR2L",3
"B003V4AJSU-A1DDXV1R2GXSGW",4
"B003V4AJSU-A1Y3S6212TKJI0",4
"B003V4AJSU-AEQYAG42F9128",4
"B003YHOXFY-A1S2QNV3353UZV",4
"B003ZX7RL4-A1DXI7BL5KA075",5
"B003ZX7RL4-A2S0T4PXPLQ537",4
"B003ZX7RL4-AMALJRC9WW9TH",4
"B0046LTU9G-A38RMEDWLM2XDU",4
"B0046LTU9G-AE9RS4PCACVT0",4
"B004B9QNJS-A1JFDEQPY0PNQ",5
"B004FK3BAW-A2ZC3L9ZUKE0SU",3
"B004FOVZ1A-A1Y440AKGB8R73",5
"B004H23JXW-A3MUQ4TCM14XR4",2
"B004KFXTOA-ATO1G9NTQ499B",4
"B004UHHPPC-A1M87NLKA59DJA",4
"B004ZLV50E-AS4CM6IQHKUC6",4
"B005IDWIMM-A1IAZWSDQPJ4E7",4
"B005OWWF66-A1ZO0JLG6R9H4C",4
"B005SSAXSI-A1R23SOWMIJ3F2",3
"B0062FYYYA-A62CBPFM00IZE",5
"B0067M9JBQ-A3LJ0JD6OLO79T",4
"B006IE3W5C-A3NOGWCCTEVY2B",4
"B006ULGWPK-A2HV3GJA9Q5SQJ",5
"B006V47ONU-A23BMWV2RH6JY6",2
"B00746GV06-AWJ63LAMN55W9",4
"B0078LXM4A-A1MVCA33CD9RLN",5
"B007INF67O-A8DUKFVG79KC2",4
"B007V6F2VI-A1XX34WBFRFYYT",1
"B007VCRRNS-A1DDQM693QDD8A",5
"B007VCRRNS-A3K1WA708UGOSE",4
"B008B0T67Y-A187MXK3C8C71H",4
"B008DKPGP8-A1G5MI2KREPEIB",4
"B0097CZBH4-A1Y1J4WQT2YSIT",4
"B0097CZF5C-AS4CM6IQHKUC6",2
"B0097CZR5U-AS8C336DDLSO4",4
"B0099LATZ2-A3HXN7Y87IBTWP",4
"B0099LATZ2-A59HU91GDMDP1",3
"B009E3RST0-A2SUXNF5RAVOHW",4
"B009LM67GE-A3G19SJMZO3NZW",4
"B009PLBLQC-A38W13FXTI874E",2
"B009ZC91AY-A3DK9LQM54F8VU",4
"B00A29WCA0-A1D5AGAWK7OXJZ",3
"B00AEK5V5K-A1HN2ZEPOV8JOG",3
"B00AXXOXKW-A1BVN8OVG91D0H",2
"B00BJL133C-A2YIUXJ9AVMSKU",2
"B00BJL133C-A30HYKFL7ERFE7",2
"B00BKRXEIC-AJ25IBQPC19TH",4
"B00BV1NKCW-A2SIJCJMUO9N8Q",2
"B00BV1NKCW-A3QKXAUZPHGF0G",2
"B00C57P6JG-A18NEXD44D8081",3
"B00CL8XDF8-A3QMJMTLJC34QC",4
"B00D93LOY6-A2BV8B58VSCWHN",4
"B00EFD4UI6-A22V98E5BKUEL3",1
"B00F21QXDK-AUS3SHU0WF2ZP",5
"B00FIQSPD0-A34W0LGJL6AZIZ",4
"B00FX8WIUE-A28CJ0Y2BDK1AR",2
"B00GD9R7BC-ATBKK1ZWUOCWA",2
"B00GG3URVC-AES7PT7MZ1EM0",5
"B00GG3URVC-ATBKK1ZWUOCWA",2
"B00GWR36F6-A1KXJYQFHA5XMN",2
"B00GWR36F6-A1SW6CQDLX7129",2
"B00GWR36F6-A2JS3YSO626ELJ",2
"B00GWR36F6-AWH82B776NHOU",2
"B00HHPZ9WK-AXY40L80I01T7",4
"B00IL31GJW-AAO5PVTVM1K9Y",2
"B00J3554KE-A37EFYVVNI95X1",2
"B0009FCAJA-A2TAR85MQWKIWL",4
"B001LYRBCO-A3PJLUEQIEOUYD",4
"B002SUCOQI-A3QI070PH4FIP9",4
"B0036DDT6U-AE2URYCBT0SX9",4
"B003B1ZWY4-A10JLSI9EAMETC",4
"B003DD00JC-A3LU646ETDKLB1",4
"B003DZERC6-A2X0I3PRG8GHL4",4
"B003V4AJSU-A1SVZRNRHOUPT5",4
"B003V4AJSU-A2X3IKYXUW4ZBG",4
"B003V4AJSU-A30TNMIVVXXZEJ",4
"B003V4AJSU-A3B1847C50GQLP",4
"B003ZX7RL4-A1JOOF81AHW9",4
"B003ZX7RL4-A24EMN6U865N3N",4
"B003ZX7RL4-A27N6SA29SH0HH",2
"B003ZX7RL4-A6432N2KA8YUZ",5
"B003ZX7RL4-AWA3U2TAU0KYP",4
"B00464IAS0-AROX92EELJO31",3
"B004BX2HOE-A1BGXTI2B42RG8",4
"B004C049JC-A1TZPAACJHD9YN",5
"B004C049JC-A2W8H62ICF3OHJ",5
"B004E5IGF8-A110NS7T7F4Z7A",2
"B004FK3BAW-A1RV8BNE37L0CE",4
"B004H23JXW-A1IU7S4HCK1XK0",4
"B004KFXTOA-AJOO9UR7FGZ5O",5
"B004NLTWFG-A1ILNDI1OUI5CO",4
"B004PYEIXW-ADLVFFE4VBT8",4
"B004R63J7Y-A1O93XELEY5TLA",4
"B004TS2GJC-A39MVRQIGCEOAC",4
"B004X6UENA-A1O0OWC0KA29TC",5
"B004X6UENA-A6KVTUGAXFR32",5
"B005345986-A14EF1PPKMSEPU",4
"B0056E655E-A1ZR4F7MC5U67P",4
"B0056E655E-AJJD7HE4OOPH0",4
"B005HYU1YE-A2O6FGEX08GPV8",4
"B005ML7OWO-A14R9GAW8BMHUV",5
"B005ML7OWO-A97M07NT0CVCV",4
"B005P1O1UO-A21ZHWV3S580O0",5
"B0067M9JBQ-A2RAAHG4LXJZ57",4
"B006GQWTZQ-A1FWVQ20WZ24N6",5
"B007250KN8-A1D0NMB6HUE3U8",4
"B007HJLCDG-AOEOC8X8SBI31",2
"B007V6F2VI-A2GARLMEAXBN8O",4
"B007VCRRNS-A1E58DWQAHLNMH",3
"B007VCRRNS-A2WFNNKUK3OC2X",5
"B007ZSGR9S-AR1A7P7EMZ2O8",5
"B00812YWXU-ALRT381H8HCTP",5
"B008DSBTAG-A1QT0DMEPC3MN8",4
"B0097CZBH4-A3K43UM7TWLC6K",2
"B0097CZBH4-AUNMQOF4BVHS9",4
"B0097CZJEO-A1Y1J4WQT2YSIT",4
"B0099QRVZS-A36CLMUHL8OBHJ",3
"B009MB6Z52-A3OXXLJRC2JBEB",4
"B009PLBLQC-A3H7JRO5VGTQKH",5
"B009VLEXFW-A3TQQGNKKLXBQC",5
"B009ZC91AY-A3O1K0VL9Q0U5Y",4
"B00AKG2XSQ-A27XLYWHT975DS",2
"B00ALGOQCQ-A329X9O7EH1M6U",3
"B00AUWS9VA-A29I7X625NQL7L",4
"B00AWVM5WI-AMZDDIU1RICW2",3
"B00B090QRM-A2WWCI4MBQ0IKC",3
"B00B4HO91O-A18DB8SW3SBYTL",4
"B00B90KCNU-A15CVOWCUQV39L",4
"B00BDC2ZPM-A3DACPEGZFPDON",2
"B00BI240E6-A244IVQBHLAV7D",4
"B00BJL133C-A17E3GR5JL3P3D",2
"B00BM4FJFY-A2E0D5KG1191IC",3
"B00BNR5950-A365UIAKFBBCBG",3
"B00BPGZGES-AE9FURUT7SNBJ",3
"B00C1DIGRI-A15CVOWCUQV39L",4
"B00C3NPY44-A3KDFKGAV47UB",4
"B00CGIULGC-A15C809ZYW2Z2G",3
"B00CIZFK9G-A1RTSM7A1D8KKF",5
"B00DKEX5AU-A3FEJU5WR7RVOP",2
"B00DSR62KY-A1OZAYRJQAERTK",2
"B00E0HXDP8-AAOQ3NU6W0AYA",1
"B00E7XAHMC-A1XH7111WCDAIN",2
"B00F33OE06-A3OPSXL62MDHEG",2
"B00F33OE06-AC0IULDVP48VN",4
"B00F63EAWA-A4HT6QHYCFKIZ",5
"B00F9BFIMA-A3L3V3YJT7RBBN",4
"B00FCMFOFM-AA6RWYTFUK8RJ",4
"B00G3C2FTS-A1YNY8BV0LLOK1",2
"B00GDBN6KQ-ATBKK1ZWUOCWA",2
"B00GW8GKC6-A1FK7AVOREKZXW",4
"B00GWR36F6-A23MRN3P9WFZOX",2
"B00H50DVPE-A3J6TO40WKM77W",5
"B00HS4U5N8-A2B2VMTOJUEI99",2
"B00HW477RG-A2P5X3HM6UIWXF",2
"B00IWCCYY8-A9RJP2CHBIY02",2
"B00J3554KE-AL71MVJW2VPVY",2
"B00K01YM80-AH9XCZOHPMYAR",2
"B0009FCAJA-A1210NT3LWHHNW",5
"B0009FCAJA-A3KL0EX0PP69DK",5
"B001MRZY3S-A3LM2YCDD8HR7G",4
"B001MRZY3S-AGOWZ7HPTOTHQ",4
"B001MRZY3S-AHTHW741YSYWY",4
"B001U0OFE6-AWLFVH88EONDC",5
"B002YDZSQM-ADLVFFE4VBT8",4
"B0030MHQXO-A208XOXQ8KL31Y",4
"B003DD00JC-A13KKO01AEOGKC",4
"B003U8EN7A-A2ZYWPROJ7Y0M7",4
"B003YHOXFY-A2Y4N0IFVNNP46",4
"B003ZX7RL4-A12R1HPJZQXLAV",4
"B003ZX7RL4-A2QK7QN73XND31",4
"B003ZX7RL4-A38DOL4HGLE9V",4
"B003ZX7RL4-A3GXKCOEEYLS3V",4
"B003ZX7RL4-A3M0G2SLD7YX0Z",4
"B003ZX7RL4-ATR0JXMYKKDEX",4
"B0041E1RSA-ATUQDHKXMAR77",5
"B00485CGHS-AN14GC74D58GQ",5
"B004A1TYAM-A2HN6QNGYCJW9K",4
"B004BX2HOE-A1MVK87DVD8K66",5
"B004BX2HOE-A1X7ZA9CLMWVU4",3
"B004BX2HOE-A34JMBT8JHCF1J",4
"B004FK3BAW-AN2BODA0NNOSS",3
"B004FOVZ1A-A1QFEBBKXYYE90",5
