"","V1"
"B0006H0JVW-A2SVJWQVC7ZDMT",3
"B000FFRYYK-A10XPAOAJLLFYF",4
"B000T9XPHC-A2BLFL2E4F5G41",1
"B002EJ9K2O-A1USRNDLBC7TJF",4
"B0037ZG3DS-A3DXWLHCHTB5OB",1
"B0037ZG3DS-AXDIPOLCFVDSJ",4
"B00416L8OQ-AT53ZTTO707MB",2
"B005I710MW-A36A1ZYZH8568P",3
"B00F67PZIY-ABHWGBS8M810O",3
"B0000YTYGM-A3FFTJYJI7OIB5",4
"B000AQSMPO-A8LNMJEXUT2VB",2
"B000EMDB3C-A38D1RKG2YKC8E",2
"B002AKKCLK-AAZ2SIVS4WSKU",3
"B0047Y0UQO-A13NRWR7M61RJC",4
"B0049NVR3S-A1XGFW5016CGQI",2
"B004W4JI3A-A2H8R7ZL4YO8XQ",4
"B0051T8QNI-AHOH4H59TJ24B",3
"B005I72AXA-A1UDGFXGUOMM3R",3
"B005O379CK-A6VPK7X53QNAQ",3
"B00005IBX9-A3NSDJYXSLIC61",3
"B00005NCX5-AH6NIIRYNP2N0",3
"B0000YWF5E-A2QLDDD9457XZ",3
"B000AQSMPO-A1BMCL773ZUF32",1
"B000GHLMI6-A39TUZC9L17OHD",4
"B000T9XPHC-AHSMNMUPRAPHM",3
"B000T9XPHC-ARVNTOJD1RRZL",3
"B001G8Y2WW-A36FKYF2591NR8",3
"B001K66LPQ-A223GK6YCLN00F",4
"B003O1V5P6-A2EH9RUU64PPD2",3
"B0041847TM-A244CRJ2QSVLZ4",4
"B005959I5E-A6TYIGOY7ZL80",1
"B007L877MI-A2UKOHFEAN1XUZ",2
"B009PLQ5H2-A19WBNIMDXXW51",2
"B000AQPMHA-A2TJG4N8LNJW23",2
"B000AQSMPO-A30P1IJZNT4379",3
"B000EPLK6O-A1UX7202X2BXDZ",4
"B000GXZ2GS-ABK6NWOCSNIFL",3
"B000GXZ2GS-AKYHKVVWNXALW",3
"B000R8E7UO-A3YAHY5THUMFU",3
"B001G8Y2WW-A1NVON5VU77GNS",4
"B001K7IDVU-A2OKRGHIYTBQ6P",5
"B003TT2RVO-AZNSJP2OIXV6M",4
"B004W4JI3A-AWB52R5L25VP6",4
"B007JNNQ6Q-AVF9OFG872S2I",1
"B00009ADDR-A2U1S8Q26R0TMF",3
"B00009OWEV-A3JISHZS4400PU",3
"B0000A1ZMS-A24IIQXFJVO516",3
"B0000X7CMQ-A1DQHS7MOVYYYA",5
"B00064GSU6-A19LAD4WU19CGR",3
"B000AQPMHA-A3EKL7DCAEC2FO",2
"B000AQSMPO-A333VTQE0G2W59",2
"B000FFILPG-A1ZM846Y7AUYD",4
"B000GXZ2GS-A2QLDDD9457XZ",3
"B000SSTX5M-AUVEA14K13MI1",1
"B001K7IDVU-A3PI8VVFKUQ8FD",3
"B002AKKCLK-A1TDR47HOR9ZP3",3
"B002AKKCLK-A21JAPWXCDO7BZ",3
"B003GW873G-A1HOUXD4UATQER",2
"B003VUZNUS-AIWTAWH20LWUW",3
"B004T0BJ7A-A1E5SJL07DA0T7",4
"B00545AQSW-A3Q6ZWVYPSNK86",3
"B005I710MW-A1LQGH34LCHI0M",3
"B009PLQ5H2-A17ZQEPBOK9ZSP",2
"B00E0QMDSM-A11CWFKJ7M0GH3",4
"B000AQPMHA-A27Y2U5QTXJ5BE",2
"B000SSTX5M-A1T7XMJ495UPBR",4
"B000SSTX5M-ACVDL5QRCOPE1",5
"B000T9SCZ2-A3VYOMIT1IXZBC",4
"B000TQEDDK-A3JPFWKS83R49V",4
"B001KYJ52E-AT5609HT83BOX",4
"B001NGO27W-A19JQ63XC0G026",4
"B002CVTKVK-A1U8VI6I2MFEU8",3
"B002MZYZHU-A3HQAPXAJV7PRX",2
"B0037ZG3DS-A2F0QH9I083W5P",4
"B003TSYRRW-A1RGF9EVE67HG1",4
"B003VTZ78M-A2EH9RUU64PPD2",3
"B004WGQ8EU-AUITG1DJ3QUGK",3
"B005I710MW-ATSNLG04G4Z3O",4
"B005O379CK-A1TUCBDQXKRYY4",4
"B0087SPTLC-A7H1LWFBE905R",3
"B00BOVQB7U-A2MOVLZ429BFLZ",3
"B00CH9QWOU-A1D4WIPKAD0OYD",3
"B00E0QMDSM-ASY25YMTIC2A9",4
"B0000X7CMQ-AG0W0GE1S0AL7",4
"B0000YWF5E-A23CYACX9LBHTQ",3
"B0006H0JVW-A1AMKFFGRY4X6Q",3
"B0006H0JVW-AQQL3ELJE5XPQ",3
"B000EG70IK-AX9FIZX89LNFQ",3
"B000FFRZ26-A3QPERS5VHFM11",1
"B000GTR2F6-A1Q4MNIUESQTBM",1
"B000GTR2F6-A2XCQ84BD3NFVD",1
"B000GXZ2GS-A1LSFFXD5TRNT",3
"B000K36EPM-A1IQ50AUHTFWLK",4
"B000K36EPM-A30ZFMD40GBJXC",5
"B001NGO27W-A3DRRO78HONCWU",4
"B002AKKCLK-A313H6238N589",5
"B002EVOVPI-A68CR84IF5DI7",1
"B0034J6QIY-A38GU3KGQPGFDY",2
"B003TSYRRW-A1UWJIBXIDJM1X",4
"B0040ZR0VS-A166YLMLJBBT1Y",3
"B0043XYLAA-A32O98PFC3OP7K",2
"B004GWSWCQ-A1TBMDZ52JIH6A",1
"B004WGQ8EU-A20VG5W98SX99L",4
"B0055P70MQ-A1NOXY3QK9YKIW",3
"B005EJF82W-A38GU3KGQPGFDY",2
"B005I710MW-A1G3MNWZDT1Q9H",3
"B005MM7YY6-A3F6GIXVE4KYJP",4
"B005YQZNO8-A1CP6HS4AUQEMR",5
"B007JNNQ6Q-ASJ0MKRFZC47B",4
"B007L877MI-A1TLIAG035H102",2
"B009PLQ5H2-A3NEW1OQL95R23",3
"B00005IBX9-A1G56YBCJ3FMTG",5
"B00005IBX9-A3293I7JQRPLKR",4
"B00005MF9C-A21M2MYVP4DDAF",4
"B00005MF9C-A2TYP1EV97OUKL",2
"B00009ADDR-A2F4BNBT5GNWZJ",3
"B0000X7CMQ-A22DFNZR75HLSO",4
"B0000X7CMQ-A3J820P6CFS5QD",4
"B0000X7CMQ-A4DAZ79A81SJI",4
"B0000YTYGM-A1SMKZQFRACOQW",4
"B0000YTYGM-A37WP4M3XPODV3",4
"B0000YWF5E-A1I6PT5YC10UCB",3
"B0001GSSIO-A1OFY33YWZ4KZ9",3
"B0001GSSIO-A2000RJ7MML5RY",2
"B000AQPMHA-A2VES3PUY6T02C",3
"B000AQSMPO-A1BJCNBNXMYSE1",2
"B000EMDB3C-A21M2MYVP4DDAF",4
"B000GTR2F6-A161L3F3D3U6VY",2
"B000GTR2F6-A292PSCIUIUWDQ",2
"B000GXZ2GS-A11JE1TYQI3DL9",3
"B000GXZ2GS-A1UE21UF3VTX2G",3
"B000GXZ2GS-A29O3UOHESOLX9",3
"B001QTVS5K-A27X2M44NJTI1I",2
"B001QTVS5K-A2O8W5UEMXH5AG",3
"B002M3DG1S-A2F4BNBT5GNWZJ",3
"B002MVJQPA-A1ZJSYEQQDIDAA",1
"B0037ZG3DS-A1KXJCXS6HFRQZ",3
"B0037ZG3DS-A2U8P4SA520PZF",4
"B0037ZG3DS-A35PX0FGJHJXFW",5
"B0037ZG3DS-A3SK43AMW013LU",4
"B0043XYLAA-AOUKL1D4WSZBX",2
"B0047Y0UQO-APZUL65LZ0S9I",4
"B004W4JI3A-A2ZZI64JAKLJ19",3
"B005YQZNO8-A1JFFG7VZIP12Y",1
"B005YQZNO8-A1OSMDPFCEYAU5",4
"B005YQZNO8-A2QLDDD9457XZ",3
"B007JNNQ6Q-A1FYYHVUDAYU53",2
"B007JNNQ6Q-A3C2JT2GQGB3E",2
"B007L877MI-AZEJLR43KBR8G",2
"B008YDSRZK-A13NWJUMVNS6YZ",1
"B00AWLBDZS-A201AAV3WM5UUT",2
"B00FFCNNHK-AC4XV78EJG1QB",5
"B00005IBX9-A3757R7A8GMGLZ",5
"B00005IBX9-A3D8B9Q1AUU1WI",3
"B00005MF9C-A3IG69HXY1EOO2",1
"B00005MF9C-AMDRWPJ0ZDE1",2
"B00005NCWQ-A3PA1Q5C43YY52",3
"B00009ADDR-A25XZFC0A27OGF",3
"B00009ADDR-A2X2MG16VR8J1F",3
"B00009ADDR-AK6BWNWBAXS97",3
"B0000A8VUU-A2IXPUQLX5GCOD",3
"B0000YTYGM-A2X06FP2PQ6EK0",4
"B0000YTYGM-AGJ20UIETP0SA",4
"B0000YWF5E-A22200AUZF7RW5",3
"B0006H0JVW-A74H9IZSY73KD",3
"B0006H0JVW-AL8SQ4ZFQXUNV",3
"B000AQPMHA-A17V9XL4CWTQ6G",2
"B000AQSMPO-AONUCJBC85BL",2
"B000EPLK6O-AIAY720FN8S9Z",4
"B000FFRYYK-A28P598QSDDDBX",4
"B000FFRYYK-A2SO0I1IKTF76J",4
"B000GTR2F6-A16LEOKKL1M6LU",2
"B000GTR2F6-A1P3HZ1WCYEBT7",1
"B000GTR2F6-A3CHIF3EHXCLA5",2
"B000GTR2F6-AR5Q3HYFKK4U",2
"B000GXZ2GS-A1U99NDD8P077Y",3
"B000GXZ2GS-A3492VK4ALBLPF",3
"B000GXZ2GS-AU8K75KS2V9FA",3
"B000TQEDDK-A20O8AJDV88910",4
"B000TQEDDK-A2MSO84WY1GU35",4
"B001TK538O-A1SP0JKOZLVYNG",2
"B002C3T8Q0-A3M3F5W0Z9ZYFV",4
"B002E9T60U-A4ZQZP41D95JO",3
"B002QG0RRC-AE79YHIQO336J",1
"B0037ZG3DS-A1OZA52DFY3SHD",4
"B003J8JP6U-A2BPZZ0KYDO5XW",4
"B0040ZR0VS-A74H9IZSY73KD",3
"B0047Y0UQO-AN1TKP9LY8PJ9",4
"B004EEXG54-A1Y397F78Y8BQD",3
"B004WPCD2W-A29VG90T649CSU",2
"B004WPCD2W-AOUKL1D4WSZBX",2
"B005I710MW-A3S96B2GBP04N2",2
"B005IR4W7W-A1YDBVOSM4VZNI",4
"B006ZCE38M-A3KR2X4CYMP1Q1",4
"B00AQ9NI36-A2Y8FNMWA9A1R",2
"B00AWLBDZS-ALJ1AJ9K9AMJU",2
"B00HR4R63Q-A3D9NUCR4RXDPY",2
"B00004R8Y2-AUJCK8YU8R614",5
"B00005IBX9-A24RT6AVJXJZHF",4
"B00005IBX9-A2HVX449H4E1HX",3
"B00005IBX9-A96IZZULJZL8M",3
"B00005NCWQ-A11PRA5SXVFU9O",3
"B00005NCWQ-A35UUAOKW07GPN",3
"B0000X7CMQ-A1JTQCIL88W9JV",4
"B0000X7CMQ-A2WPQUDZSARBG3",4
"B0000YTYGM-A3C3LJEPEV98Y6",4
"B0000YTYGM-ADGEMJREA7KS4",4
"B0000YWF5E-A12FRO3VY2AI89",3
"B0000YWF5E-A1EX5SK2PD0XLC",3
"B0000YWF5E-A2CXA7072RA111",3
"B00064LNEM-A1EEMMDBA6ZSI4",4
"B000AQPMHA-A3ASE4TZL0QYZV",2
"B000AQPMHA-A3QO1OBWMB0DZ0",2
"B000AQPMHA-A8WAIT2CT8MUD",3
"B000AQSMPO-A1A0DYYXZHF4RJ",2
"B000AQSMPO-A2EVSUGZG3K4DA",2
"B000FFILQU-A2BEI9QC4XQFYD",1
"B000GHLMI6-A16YWASMDDCUR8",4
"B000GTR2F6-AENZUAHS4HTKY",3
"B000GXZ2GS-A11IDK9L74LPT1",3
"B000GXZ2GS-A2A1XYSB692L6J",3
"B000GXZ2GS-A2TLXX5OKELI5R",5
"B000MTMP2K-A1DJWGRWX6TNWO",1
"B000T9SCZ2-A2JEDIXFZCRJ0U",1
"B000T9SCZ2-A3OYYY149M5S1K",1
"B0018RY8H0-A11IDK9L74LPT1",3
"B0018RY8H0-ATEPJ92NQD9NU",3
"B001G8Y2WW-ARJXY06CIF2LC",3
"B001G8Y2X6-A2IVT7EIPMEDF6",1
"B002AKKCLK-A2EITIBK64XGAV",5
"B002AKKCLK-A43YGIOE8CFJV",3
"B002FIL2DE-AYGEP8I4BQ3CK",4
"B002QG0RRC-A1KB2MF2WRFB7A",1
"B002QG0RRC-A1N46UPQFD17W5",1
"B002UFWW2W-A1VQHH85U7PX0",3
"B002ZNMOU4-A1YPTG2MIZZYYL",2
"B0034J6QIY-A6MBJNDVCWXRT",2
"B0037ZG3DS-A127P3LKWK0LHA",4
"B0037ZG3DS-A3Q501XESDRFVN",4
"B0037ZG3DS-AGNGN6A4N5WV3",2
"B004WGQ8EU-A1S7BFT0HDF3HA",4
"B004WGQ8EU-A3JUHP1E3WUHEA",4
"B005I710MW-A1MV77O5GBEP4A",3
"B005I710MW-A8QAOMRX0JLXJ",3
"B005I710MW-AVU1ILDDYW301",3
"B005I72AXA-A1JNV7Z5MYSV78",3
"B005I72AXA-A8QAOMRX0JLXJ",3
"B005YQZNO8-A1XM6F1APVUA1X",5
"B007JNNQ6Q-A2UE9D1TQ3XGUH",2
"B007JNNQ6Q-A2UK25KI4T6GCI",2
"B007L877MI-A6YN5508K6YBP",2
"B007OQF5YE-A1FVN80HHHR3RA",2
"B009L1SDL2-A2VHAKOZKCKACJ",2
"B00HQXJY7E-AT53ZTTO707MB",3
"B00005IBX9-A1E5SJL07DA0T7",1
"B00005MF9C-A07960842IJ093X6R4366",3
"B00005MF9C-A1GRFKOIAYG1C6",4
"B0000X7CMQ-A1SMI2I3ZOIXE2",4
"B0000X7CMQ-A2L6K9PEUA7BHU",5
"B0000YTYGM-A13NWJUMVNS6YZ",4
"B0000YTYGM-A3VU8XARG5E7OC",4
"B0006H0JVW-A35SNA83PZHP2U",3
"B0006H0JVW-A3N36CKAVBJ8WM",2
"B0006HINCE-A3BPTHN7C1BAEP",3
"B000AQPMHA-A3IWSCI3KCL041",2
"B000AQPMHA-AT9U5ZE5OO84C",2
"B000AQSMPO-A162H0GEEUFE18",2
"B000AQSMPO-A1E22CI7FVO1F1",2
"B000AQSMPO-A1UUPK2HKERSS5",2
"B000AQSMPO-A3F8SP8YJ6VOJ5",2
"B000AQSMPO-AL0FBA5TU7IB6",4
"B000AQSMPO-AMS7FVJZM61P",2
"B000CS7P7Q-A9XMQ24ZKXYSN",4
"B000FFILQU-A1XFXX7N2Z62GK",1
"B000FFILQU-AZXNNAKWJDR2H",2
"B000GHLMI6-AIJJQW2AT1TJN",4
"B000GTR2F6-A15N2E8E9I3OVY",2
"B000GTR2F6-AT9U5ZE5OO84C",2
"B000GXZ2GS-A21XGBXOP7147I",3
"B000GXZ2GS-AX9FIZX89LNFQ",3
"B000K36EPM-AIP91NY7CWSUI",4
"B000T9SCZ2-APK1VPUDM7VQ1",2
"B0014CVEH6-A3DZRNZV8333LY",3
"B001DSZYLS-A3R6FN40CO2FMJ",4
"B001G8Y2WW-ALX2AGQ7QUYS1",4
"B001G8Y2WW-ANG2TMFDF5D91",3
"B001I1N0GQ-A2U9WJDR8KJ7NU",4
"B001KYJ52E-A34GLROPLVCX77",3
"B001TK538O-A23JZ91FCEQJ4C",2
"B002AKKCLK-A3SMAZK3DU8GV8",3
"B002CVTKVK-A304TZYJIWBA0C",3
"B002CVTKVK-A3NM5SP9NZ9BOJ",3
"B002CVTKVK-A4MC9WF2TNRY5",3
"B002MVJQPA-A34IJACMU8C3IM",4
"B002S51RW0-A3OCCDTAMODER1",2
"B0034J6QIY-A51U9ZBIL04YH",2
"B0037ZG3DS-A19YOYY7FLQMA6",4
"B0037ZG3DS-A38LBGI4EZRQXJ",5
"B0037ZG3DS-A3S43CQ832KY3K",4
"B0037ZG3DS-AE5PGJ9S3T9EP",4
"B003GW873G-A1FVN80HHHR3RA",2
"B003J8JP6U-A3K7ZKK1NASH8L",2
"B003TT0WYS-A2A98ODDDU8608",4
"B003TT2RVO-A3U41M9NRGAFWI",4
"B0041GNZSS-A35SX2653B6EWF",3
"B0043XYLAA-A2BMZRO0H7TFCS",2
"B0047W70GY-A2UJGR6IOIUOJA",3
"B004WGQ8EU-A16ALXKQ02SKYG",2
"B004WGQ8EU-A2TIOG6MCV0ZH1",3
"B004WGQ8EU-AUH5FYXATI9KR",4
"B005I710MW-A1LY5HCF9HR9B1",3
"B005YQZNO8-A1L8YYX3TTKR76",3
"B005YQZNO8-A2A8V5Y8ENNIFM",4
"B005YQZNO8-A2D7OTXZEY0S6L",3
"B005YQZNO8-A3P0XMO3ZXNS6J",4
"B005YQZNO8-AEE68JTL28GHC",4
"B007JNNQ6Q-A1G5V94A5230VT",2
"B007L877MI-A1CINHEXWS2XSA",2
"B007L877MI-A39UQFN4Q6LQA8",2
"B0083XZ85I-A27FXMYHN1MT9K",3
"B009PLQ5H2-A1H0R4MT2C18II",2
"B009PLQ5H2-A9978YKZAICCU",2
"B009PLQ5H2-ANL2QDOGET65U",2
"B00AQ9NIO0-A2AY4YUOX2N1BQ",2
"B00AQ9NIO0-A2C32A5K4NIS3L",2
"B00BEV24GC-A12JARSR16QM21",2
"B00005IBX9-AEA6CWXGT8IZT",4
"B00005IBX9-AU0N36FJKSP5Z",1
"B00005MF9C-A3OI70H2JZVWL3",2
"B00005MF9C-ANF125J5HIXP",3
"B00005NCX5-A2IS70GE932HE5",3
"B00008WU9F-AYS82I3Z814TY",3
"B00009ADDR-A1WM1CO8YDGYGV",3
"B00009ADDR-A313H6238N589",3
"B0000AN3PO-AB693ID198Z87",3
"B0000CF2WM-A3NZW4RYCAV86R",1
"B0000X7CMQ-A38LNEEVS5VUB1",4
"B0000YTYGM-A2Y1TT6CQM6UFM",4
"B0000YTYGM-ADYUAOO3BADKN",4
"B0000YWF5E-A14CPE16HGLDW2",3
"B0000YWF5E-A30G4E3XP46D9D",3
"B0001GSSIO-AL1X0PL0VEU0K",3
"B0006H0JVW-A1KLBRQX7REVA0",3
"B000AQSMPO-A1UH0Z2NHKRS34",2
"B000AQSMPO-A626N88RW70HV",2
"B000AQSMPO-AFC3APFZ3183E",2
"B000EWFGUS-A2HNYZOUB8DIT1",5
"B000FFILQU-A3KOYOLL6RVZCO",4
"B000FFRYYK-A1TEOXJS5EBD4I",3
"B000FFRZ26-A31DNEB26RFTTD",4
"B000G9WK8K-A238CJM5WRXQGO",4
"B000GTR2F6-A14ZKVDMU2S7S4",2
"B000GTR2F6-A1XE2Q4XV77NA9",1
"B000GTR2F6-A8587Z0NR0NLQ",2
"B000GTR2F6-AN4GZC3LJV8VS",2
"B000GXZ2GS-A16073A4J2AJI9",3
"B000GXZ2GS-A184EFZ26HGG91",2
"B000GXZ2GS-A1AGD6LKVFUTCZ",3
"B000GXZ2GS-A1DZLV102YYGVP",3
"B000GXZ2GS-A1PPJWSBEHY46Y",3
"B000GXZ2GS-A2ZRGLLISWYMUK",3
"B000GXZ2GS-A3A4ZAIBQWKOZS",3
"B000GXZ2GS-A3LAKFK21AQPSE",1
"B000GXZ2GS-AB6D6JVF5GQZM",5
"B000GXZ2GS-ADC9AM77XD6R7",3
"B000MDHH0Q-A41TZN8LB2JQN",3
"B000MTMP2K-A2DJOMRXLPK2X6",4
"B000SSTX5M-A3VO12HTUP5HNK",3
"B000T9SCZ2-A1CGRXCLP0NPTJ",3
"B000T9XPHC-A12X5O7VDLT5IC",4
"B000T9XPHC-A2TDAEGX22L7LM",4
"B000T9XPHC-AMH6SLC9YNFPQ",3
"B000TQEDDK-A2N6DL6BO9SYV9",5
"B000TQEDDK-AVR0HXZEC0BQ9",4
"B0018RY8H0-ACP5OMM65XGX3",3
"B001B0L11K-A2MIS0PF7FDSUI",4
"B001K66LPQ-A2EVM60TNSI07B",4
"B001K66LPQ-A2H9ZOHKKA8TR0",4
"B001K66LPQ-A2KADUL9HLYBXP",5
"B001QTVS5K-AFB3IJV3GUUCM",2
"B002MZYZHU-A3U41ZL33SS92P",2
"B002QG0RRC-A2PTRDPMQMGKAT",3
"B002S51RW0-A9XOCXEQGY051",2
"B0037ZG3DS-A26DG83RKEDJ4E",5
"B0037ZG3DS-AICNX5G014AFX",4
"B00390T5JA-A3A4ZAIBQWKOZS",2
"B003GW873G-A10IKHRUSMKP46",2
"B0041A5H5S-A11G31VMEPGS1I",2
"B0041A5H5S-AB13Z0PTK6WGI",4
"B0041A5H5S-ABHU2X8LMRWL5",4
"B0047Y0UQO-AETG43ARLZDZD",4
"B004WGQ8EU-A13MKSASQ6YWL7",4
"B004WGQ8EU-A26UDH76LH2LS7",1
"B004WGQ8EU-A2N5FIBIFAYF1L",4
"B004WPCD2W-A1Y8WH3XS3SQNU",3
"B0053SWQHO-AH1K3RO4BW3WC",3
"B0055P70MQ-A1WPFIZ8P3O86V",3
"B005I710MW-A37BMLP72I719E",5
"B005I710MW-AWYL41GBZJ1UR",2
"B005IR4W7W-A3JO3EVZAYKU10",5
"B005YQZNO8-AQ0YDQ5LEY5WB",4
"B0064ONLUC-A2LL8UGRZW8KMV",4
"B0064ONLW0-AUW4PFHTA93QY",1
"B006OP8XMC-A1PI8VBCXXSGC7",2
"B007JNNQ6Q-A1UL9ZUAJV67G7",2
"B007L877MI-A2SPPW22FWNZE1",2
"B007Q40BOS-A1WPFIZ8P3O86V",3
"B009L1SDL2-A2LIPLT5LJTN5B",2
"B009PLQ5H2-A12XRNYZODYHFG",2
"B009PLQ5H2-A1314P8MTIGN5J",2
"B009PLQ5H2-ATTKW4MOR8BX6",1
"B00AM20U2O-A1U8IK69GLLK5M",2
"B00AQ9NI36-A2GTDAC4M9DYJ5",2
"B00AWLBDZS-A3TXXD59X0LG4R",2
"B00B4G6GAM-A2M558I1JY308K",2
"B00B4G6GAM-A32WS1SQTDYYO",3
"B00CJ1HF7O-A349K6QOZU5LKL",2
"B00CJ1HF7O-AEL6CQNQXONBX",2
"B00E0QMDSM-AUDIMC9S54C6P",2
"B00FFCNNHK-A16ALXKQ02SKYG",4
"B00005IBX9-A1SYLII0808HD6",4
"B00005IBX9-A2CWG60ZHQTSXU",1
"B00005IBX9-A2FTPBDDUD1UD0",4
"B00005IBX9-A2P9A5I33LM6B2",4
"B00005IBX9-A36SAVH51YJYRC",5
"B00005IBX9-A3S4HKBUQN91S2",4
"B00005MF9C-A1LAIYZJ6QLB70",5
"B00005MF9C-A2BRPKVXG7CMWF",3
"B00005NCWQ-A3MKRKBV7TOACC",3
"B00005NCX5-A3J3TIT0UN3O1X",3
"B00009ADDR-A1WEH2YVC82XSP",3
"B0000A8VUU-A35LU9RG45QFEB",3
"B0000X7CMQ-A25W1Y9307W0EJ",4
"B0000X7CMQ-A3G45ICX7N9SZ8",4
"B0000X7CMQ-AIOLUGP9RC3PX",4
"B0000X7CMQ-AJVXD5AN4IUN",4
"B0000YTYGM-A67UJCRK2OI20",4
"B0000YWF5E-A3HCEWQS7WLZO3",3
"B0000YWF5E-A3K3HEXWA7PHH1",3
"B0000YWF5E-ADLVFFE4VBT8",3
"B0001GSSIO-A1HSLLGTIS5FFY",3
"B0008JIW8U-A6D6R6N3UO4NO",5
"B000AQPMHA-A2PK0U9UVQRF1X",2
"B000AQPMHA-A3AYF9CD4PXDJR",2
"B000AQSMPO-A1DJ0XXWWSKPWV",1
"B000AQSMPO-A1LZHGJ7GF0J8N",1
"B000AQSMPO-A24ZZF3ZN61ABK",2
"B000AQSMPO-A2OVR63TMZ8FJJ",2
"B000AQSMPO-A30XKZJBK4YRFT",2
"B000AQSMPO-A3N13D55I28OCK",2
"B000AQSMPO-A3SGJD66DQULZY",2
"B000BR391E-A377SX7KQ1SCOS",5
"B000CS7P7Q-AMV5KJODS37K",4
"B000FFILQU-A1CN2WMB58A7I6",3
"B000FFILQU-AGKYYNP41NZGG",3
"B000FFRYYK-A1LFSCQ19J7YB0",5
"B000FFRYYK-A1U6SPSKT9EDJ5",4
"B000FFRYYK-A2PRIQ2EA5GYML",4
"B000GHLMI6-A388QZKC84WDDD",3
"B000GTR2F6-A1HBC0NBQJHT7X",2
"B000GTR2F6-A1JK59EJMZYSAS",2
"B000GTR2F6-A1SCCQLSZNN91N",2
"B000GTR2F6-A2ZKZS8OCCYOB",2
